"","plot","species","size","group","method","elev"
"1","H3","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",1106
"2","H3","Lasioglossum fratellum",7,"wild bees","transect walks",1106
"3","H3","Andrena subopaca",7,"wild bees","transect walks",1106
"4","H3","Lasioglossum albipes",8,"wild bees","transect walks",1106
"5","H3","Bombus wurflenii",14.5,"wild bees","transect walks",1106
"6","H3","Lasioglossum laevigatum",8.5,"wild bees","transect walks",1106
"7","H3","Andrena chrysosceles",9.5,"wild bees","transect walks",1106
"8","HO2","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",1046
"9","HO3","Bombus pratorum",11.5,"wild bees","transect walks",1332
"10","HO3","Lasioglossum albipes",8,"wild bees","transect walks",1332
"11","HO3","Chelostoma florisomne",9,"wild bees","transect walks",1332
"12","HO3","Bombus pascuorum",12,"wild bees","transect walks",1332
"13","T1","Bombus hortorum",13.5,"wild bees","transect walks",716
"14","T1","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",716
"15","T1","Bombus pascuorum",12,"wild bees","transect walks",716
"16","T1","Lasioglossum laevigatum",8.5,"wild bees","transect walks",716
"17","T1","Halictus tumulorum",7,"wild bees","transect walks",716
"18","T1","Andrena wilkella",11.5,"wild bees","transect walks",716
"19","T1","Bombus sylvestris",15,"wild bees","transect walks",716
"20","WmB2","Andrena subopaca",7,"wild bees","transect walks",1139
"21","WmB2","Bombus wurflenii",14.5,"wild bees","transect walks",1139
"22","WmB2","Bombus pascuorum",12,"wild bees","transect walks",1139
"23","WmB2","Lasioglossum calceatum",8.5,"wild bees","transect walks",1139
"24","T4","Bombus soroeensis",12,"wild bees","transect walks",644
"25","T4","Bombus campestris",16.5,"wild bees","transect walks",644
"26","T4","Lasioglossum laevigatum",8.5,"wild bees","transect walks",644
"27","T4","Chelostoma florisomne",9,"wild bees","transect walks",644
"28","T4","Bombus pascuorum",12,"wild bees","transect walks",644
"29","T4","Andrena chrysosceles",9.5,"wild bees","transect walks",644
"30","T4","Lasioglossum albipes",8,"wild bees","transect walks",644
"31","T4","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",644
"32","W4","Bombus wurflenii",14.5,"wild bees","transect walks",1235
"33","W4","Lasioglossum cupromicans",5.5,"wild bees","transect walks",1235
"34","W4","Lasioglossum albipes",8,"wild bees","transect walks",1235
"35","W5","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1446
"36","W5","Bombus monticola",12.5,"wild bees","transect walks",1446
"37","W5","Andrena lapponica",12.5,"wild bees","transect walks",1446
"38","WmA5","Bombus wurflenii",14.5,"wild bees","transect walks",2034
"39","WmA5","Bombus monticola",12.5,"wild bees","transect walks",2034
"40","WmB4","Lasioglossum albipes",8,"wild bees","transect walks",1654
"41","WmB4","Lasioglossum cupromicans",5.5,"wild bees","transect walks",1654
"42","WmB4","Lasioglossum fratellum",7,"wild bees","transect walks",1654
"43","H1","Bombus pascuorum",12,"wild bees","transect walks",818
"44","H1","Lasioglossum calceatum",8.5,"wild bees","transect walks",818
"45","H1","Lasioglossum morio",5.5,"wild bees","transect walks",818
"46","H1","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",818
"47","H2","Lasioglossum leucopus",5,"wild bees","transect walks",985
"48","H2","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",985
