"","spec","Order"
"85","Aglais urticae","Lepidoptera"
"227","Andrena ampla","Hymenoptera"
"228","Andrena bicolor","Hymenoptera"
"229","Andrena carantonica","Hymenoptera"
"230","Andrena chrysosceles","Hymenoptera"
"231","Andrena cineraria","Hymenoptera"
"232","Andrena fucata","Hymenoptera"
"233","Andrena fulvago","Hymenoptera"
"234","Andrena fulvida","Hymenoptera"
"235","Andrena humilis","Hymenoptera"
"236","Andrena intermedia","Hymenoptera"
"237","Andrena minutula","Hymenoptera"
"238","Andrena proxima","Hymenoptera"
"239","Andrena semilaevis","Hymenoptera"
"240","Andrena subopaca","Hymenoptera"
"241","Andrena viridescens","Hymenoptera"
"242","Andrena wilkella","Hymenoptera"
"269","Anthidiellum strigatum","Hymenoptera"
"271","Anthocharis cardamines","Lepidoptera"
"284","Anthophora furcata","Hymenoptera"
"285","Anthophora quadrimaculata","Hymenoptera"
"315","Aphantopus hyperantus","Lepidoptera"
"344","Aporia crataegi","Lepidoptera"
"365","Argynnis adippe","Lepidoptera"
"366","Argynnis aglaja","Lepidoptera"
"379","Aricia agestis","Lepidoptera"
"441","Baccha elongata","Diptera"
"497","Blera fallax","Diptera"
"524","Boloria euphrosyne","Lepidoptera"
"525","Boloria pales","Lepidoptera"
"526","Boloria thore","Lepidoptera"
"527","Boloria titania","Lepidoptera"
"528","Bombus campestris","Hymenoptera"
"529","Bombus gerstaeckeri","Hymenoptera"
"530","Bombus hortorum","Hymenoptera"
"531","Bombus lapidarius","Hymenoptera"
"532","Bombus lucorum_terrestris","Hymenoptera"
"533","Bombus monticola","Hymenoptera"
"534","Bombus mucidus","Hymenoptera"
"535","Bombus pratorum","Hymenoptera"
"536","Bombus pyrenaeus","Hymenoptera"
"537","Bombus soroeensis","Hymenoptera"
"538","Bombus sylvestris","Hymenoptera"
"539","Bombus wurflenii","Hymenoptera"
"563","Brachyopa dorsata","Diptera"
"564","Brachyopa vittata","Diptera"
"565","Brachypalpus laphriformis","Diptera"
"686","Callophrys rubi","Lepidoptera"
"747","Carterocephalus palaemon","Lepidoptera"
"828","Chalcosyrphus piger","Diptera"
"840","Cheilosia albitarsis","Diptera"
"841","Cheilosia barbata","Diptera"
"842","Cheilosia canicularis","Diptera"
"843","Cheilosia frontalis","Diptera"
"844","Cheilosia gigantea","Diptera"
"845","Cheilosia himantopus","Diptera"
"846","Cheilosia impressa","Diptera"
"847","Cheilosia impudens","Diptera"
"848","Cheilosia lasiopa","Diptera"
"849","Cheilosia latifrons","Diptera"
"850","Cheilosia loewi","Diptera"
"851","Cheilosia longula","Diptera"
"852","Cheilosia melanura","Diptera"
"853","Cheilosia mutabilis","Diptera"
"854","Cheilosia nigripes","Diptera"
"855","Cheilosia nivalis","Diptera"
"856","Cheilosia personata","Diptera"
"857","Cheilosia proxima","Diptera"
"858","Cheilosia pubera","Diptera"
"859","Cheilosia rhynchops","Diptera"
"860","Cheilosia semifasciata","Diptera"
"861","Cheilosia vangaveri","Diptera"
