plot;elev;manbin;polldiv;divwb;divbf;divhv;divor;wbdip;wbab;bfdip;bfab;hvdip;hvab;ordip;orab;clpolldiv;clpolldip;clpollab;betadivj;betadipj;pldiv;pp;plbm;deadwood;flow_cov;herb_cov;herb_height;shrub_cov;shrub_height;tree_cov;tree_height;flrich;temps;tempy;tempsampl;tempwb;tempbf;temphv;tempor;temppoll;samplwb;samplbf;samplhv;samplor;samplpoll
H1;818;1;323;15;12;32;5;11;107;14;26;13;21;20;408.25;59;38;154;0.175972908;0.21129959;108;60.1;40.55;2.166666667;1.552083333;100;13.33333333;6.333333333;183.3333333;6.333333333;933.3333333;23;14.08879107;8.307387214;20.90808472;15.61867667;15.61867667;15.61867667;16.64678667;15.61867667;19.61723372;19.90126149;19.72105316;20.51531489;19.74651612
H2;985;1;295;10;12;34;7;23;89;16;41;14;32;18;570.25;56;53;162;0.213443721;0.211972078;97;116.7;66.5;0.333333333;2.927083333;80;15;0.166666667;16.66666667;0;0;28;13.66247609;7.881072024;20.19417299;15.19235667;15.19235667;15.19235667;16.65553333;15.19235667;19.14775988;19.01095432;19.14775988;20.44778261;19.10215802
H3;1106;1;306;7;6;47;5;15;84;15;35;23;37;22;477.25;60;53;156;0.217904743;0.255271144;118;103.5;59.55;0.166666667;2.708333333;95;13.33333333;0;0;0;0;39;13.2834442;7.502039971;21.05881298;17.22047333;17.22047333;17.22047333;17.45330667;17.22047333;19.75138677;19.32395622;19.75138677;21.15668769;19.60890992
H4;1326;1;267;3;10;34;6;12;69;24;53;20;31;14;487.25;47;56;153;0.242238506;0.236116548;142;96.4;73.8;6.333333333;5;80;21.66666667;15;93.33333333;0.666666667;1133.333333;36;12.57056167;6.789157716;19.54264063;15.56878;15.56878;15.56878;15.31829667;15.56878;18.7147512;18.64882527;18.7147512;18.45043716;18.69277589
H5;1580;0;272;4;10;32;2;15;72;18;54;20;39;12;152.5;46;53;165;0.250033535;0.231662743;117;78.575;78.575;0.166666667;6.927083333;80;8.333333333;0.333333333;33.33333333;0;0;29;11.59651167;5.815107727;18.27011592;14.59473;14.59473;14.59473;14.34424667;14.59473;17.46342934;17.4389849;17.46342934;17.37485029;17.4552812
H6;1807;0;224;5;7;18;1;9;22;12;93;21;33;11;123.75;30;42;148;0.256956608;0.215226522;98;146.675;146.675;0.166666667;1.197916667;88.33333333;18.33333333;26.66666667;200;0.333333333;166.6666667;31;10.38230556;4.600901208;17.04497858;15.33781333;15.33781333;15.96336667;15.58686167;15.54633111;17.23254759;17.50662167;17.96726982;18.13602994;17.56881303
H7;1986;0;157;2;2;13;0;6;15;9;31;13;47;4;15;17;28;93;0.202912294;0.179607933;86;78.6;78.6;0;1.645833333;76.66666667;11.66666667;0;0;0;0;24;9.351422716;3.570018759;15.90517721;14.30693;14.30693;14.93248;14.555981;14.51544667;16.25225994;16.2752229;17.74046371;17.11287576;16.75598218
HO1;828;1;216;3;6;24;2;19;77;12;29;8;18;11;372.5;33;39;124;0.195475556;0.186066816;127;132;55.5;3;1.34375;76.66666667;20;0;0;0;0;26;14.0656359;8.284231698;20.18971209;15.23004;15.23004;15.23004;17.24689333;15.23004;18.85726078;18.85726078;18.85726078;20.84943739;18.85726078
HO2;1046;1;234;1;5;29;1;7;36;11;50;13;36;16;341.25;35;31;122;0.21976751;0.212326472;93;81.8;87.6;0.166666667;4.375;100;18.33333333;0.833333333;200;1.333333333;2333.333333;27;13.47148213;7.690078034;19.37053714;14.12369667;14.12369667;14.30510333;16.65274333;14.18416556;17.08361362;17.45435436;18.39750822;20.02068654;17.64515873
HO3;1332;1;258;2;6;18;1;14;63;15;36;19;33;14;87;26;48;132;0.217515094;0.225193281;82;59.675;59.675;0;4.739583333;98.33333333;20;30;83.33333333;0;0;16;12.55236371;6.770959771;18.50377613;17.71469;18.19487667;17.71469;14.18282;17.87475222;21.3948588;22.82971629;21.3948588;16.76821518;21.87314463
