"","spec","Order"
"85","Aglais urticae","Lepidoptera"
"227","Andrena ampla","Hymenoptera"
"228","Andrena bicolor","Hymenoptera"
"229","Andrena carantonica","Hymenoptera"
"230","Andrena chrysosceles","Hymenoptera"
"231","Andrena cineraria","Hymenoptera"
"232","Andrena fucata","Hymenoptera"
"233","Andrena fulvago","Hymenoptera"
"234","Andrena fulvida","Hymenoptera"
"235","Andrena humilis","Hymenoptera"
"236","Andrena intermedia","Hymenoptera"
"237","Andrena minutula","Hymenoptera"
"238","Andrena proxima","Hymenoptera"
"239","Andrena semilaevis","Hymenoptera"
"240","Andrena subopaca","Hymenoptera"
"241","Andrena viridescens","Hymenoptera"
"242","Andrena wilkella","Hymenoptera"
"269","Anthidiellum strigatum","Hymenoptera"
"271","Anthocharis cardamines","Lepidoptera"
"284","Anthophora furcata","Hymenoptera"
"285","Anthophora quadrimaculata","Hymenoptera"
"316","Aphantopus hyperantus","Lepidoptera"
"345","Aporia crataegi","Lepidoptera"
"378","Aricia agestis","Lepidoptera"
"440","Baccha elongata","Diptera"
"496","Blera fallax","Diptera"
"524","Boloria euphrosyne","Lepidoptera"
"525","Boloria pales","Lepidoptera"
"526","Boloria thore","Lepidoptera"
"527","Boloria titania","Lepidoptera"
"528","Bombus campestris","Hymenoptera"
"529","Bombus gerstaeckeri","Hymenoptera"
"530","Bombus hortorum","Hymenoptera"
"531","Bombus lapidarius","Hymenoptera"
"532","Bombus lucorum/terrestris","Hymenoptera"
"533","Bombus monticola","Hymenoptera"
"534","Bombus mucidus","Hymenoptera"
"535","Bombus pratorum","Hymenoptera"
"536","Bombus pyrenaeus","Hymenoptera"
"537","Bombus soroeensis","Hymenoptera"
"539","Bombus sylvestris","Hymenoptera"
"540","Bombus wurflenii","Hymenoptera"
"564","Brachyopa dorsata","Diptera"
"565","Brachyopa vittata","Diptera"
"566","Brachypalpus laphriformis","Diptera"
"687","Callophrys rubi","Lepidoptera"
"748","Carterocephalus palaemon","Lepidoptera"
"829","Chalcosyrphus piger","Diptera"
"841","Cheilosia albitarsis","Diptera"
"842","Cheilosia barbata","Diptera"
"843","Cheilosia canicularis","Diptera"
"844","Cheilosia frontalis","Diptera"
"845","Cheilosia gigantea","Diptera"
"846","Cheilosia himantopus","Diptera"
"847","Cheilosia impressa","Diptera"
"848","Cheilosia impudens","Diptera"
"849","Cheilosia lasiopa","Diptera"
"850","Cheilosia latifrons","Diptera"
"851","Cheilosia loewi","Diptera"
"852","Cheilosia longula","Diptera"
"853","Cheilosia melanura","Diptera"
"854","Cheilosia mutabilis","Diptera"
"855","Cheilosia nigripes","Diptera"
"856","Cheilosia nivalis","Diptera"
"857","Cheilosia personata","Diptera"
"858","Cheilosia proxima","Diptera"
"859","Cheilosia pubera","Diptera"
"860","Cheilosia rhynchops","Diptera"
"861","Cheilosia semifasciata","Diptera"
"862","Cheilosia vangaveri","Diptera"
"863","Cheilosia variabilis","Diptera"
"870","Chelostoma rapunculi","Hymenoptera"
